Model,Storage,Condition,Price
,,,
iPhone 11,,,
iPhone 11,64GB,,
iPhone 11,64GB,Dead,R 115.50
iPhone 11,64GB,Poor,R 115.50
iPhone 11,64GB,Good,"R 3,517.80"
iPhone 11,64GB,Mint,"R 3,744.40"
iPhone 11,64GB,Sealed,"R 4,651.90"
iPhone 11,128GB,,
iPhone 11,128GB,Dead,R 115.50
iPhone 11,128GB,Poor,R 115.50
iPhone 11,128GB,Good,"R 4,067.80"
iPhone 11,128GB,Mint,"R 4,294.40"
iPhone 11,128GB,Sealed,"R 5,201.90"
iPhone 11,256GB,,
iPhone 11,256GB,Dead,R 115.50
iPhone 11,256GB,Poor,R 115.50
iPhone 11,256GB,Good,"R 4,617.80"
iPhone 11,256GB,Mint,"R 4,844.40"
iPhone 11,256GB,Sealed,"R 5,751.90"
iPhone 11 Pro,,,
iPhone 11 Pro,64GB,,
iPhone 11 Pro,64GB,Dead,R 115.50
iPhone 11 Pro,64GB,Poor,R 115.50
iPhone 11 Pro,64GB,Good,"R 3,517.80"
iPhone 11 Pro,64GB,Mint,"R 3,744.40"
iPhone 11 Pro,64GB,Sealed,"R 4,651.90"
iPhone 11 Pro,256GB,,
iPhone 11 Pro,256GB,Dead,R 115.50
iPhone 11 Pro,256GB,Poor,R 115.50
iPhone 11 Pro,256GB,Good,"R 4,067.80"
iPhone 11 Pro,256GB,Mint,"R 4,294.40"
iPhone 11 Pro,256GB,Sealed,"R 5,201.90"
iPhone 11 Pro,512GB,,
iPhone 11 Pro,512GB,Dead,R 115.50
iPhone 11 Pro,512GB,Poor,R 115.50
iPhone 11 Pro,512GB,Good,"R 4,617.80"
iPhone 11 Pro,512GB,Mint,"R 4,844.40"
iPhone 11 Pro,512GB,Sealed,"R 5,751.90"
iPhone 11 Pro Max,,,
iPhone 11 Pro Max,64GB,,
iPhone 11 Pro Max,64GB,Dead,R 115.50
iPhone 11 Pro Max,64GB,Poor,R 115.50
iPhone 11 Pro Max,64GB,Good,"R 4,755.30"
iPhone 11 Pro Max,64GB,Mint,"R 5,064.40"
iPhone 11 Pro Max,64GB,Sealed,"R 6,301.90"
iPhone 11 Pro Max,256GB,,
iPhone 11 Pro Max,256GB,Dead,R 115.50
iPhone 11 Pro Max,256GB,Poor,R 115.50
iPhone 11 Pro Max,256GB,Good,"R 5,305.30"
iPhone 11 Pro Max,256GB,Mint,"R 5,614.40"
iPhone 11 Pro Max,256GB,Sealed,"R 6,851.90"
iPhone 11 Pro Max,512GB,,
iPhone 11 Pro Max,512GB,Dead,R 115.50
iPhone 11 Pro Max,512GB,Poor,R 115.50
iPhone 11 Pro Max,512GB,Good,"R 5,855.30"
iPhone 11 Pro Max,512GB,Mint,"R 6,164.40"
iPhone 11 Pro Max,512GB,Sealed,"R 7,401.90"
iPhone 12,,,
iPhone 12,64GB,,
iPhone 12,64GB,Dead,R 115.50
iPhone 12,64GB,Poor,R 115.50
iPhone 12,64GB,Good,"R 4,198.70"
iPhone 12,64GB,Mint,"R 4,470.40"
iPhone 12,64GB,Sealed,"R 5,559.40"
iPhone 12,128GB,,
iPhone 12,128GB,Dead,R 115.50
iPhone 12,128GB,Poor,R 115.50
iPhone 12,128GB,Good,"R 4,748.70"
iPhone 12,128GB,Mint,"R 5,020.40"
iPhone 12,128GB,Sealed,"R 6,109.40"
iPhone 12,256GB,,
iPhone 12,256GB,Dead,R 115.50
iPhone 12,256GB,Poor,R 115.50
iPhone 12,256GB,Good,"R 5,298.70"
iPhone 12,256GB,Mint,"R 5,570.40"
iPhone 12,256GB,Sealed,"R 6,659.40"
iPhone 12 Mini,,,
iPhone 12 Mini,64GB,,
iPhone 12 Mini,64GB,Dead,R 115.50
iPhone 12 Mini,64GB,Poor,R 115.50
iPhone 12 Mini,64GB,Good,"R 3,394.60"
iPhone 12 Mini,64GB,Mint,"R 3,612.40"
iPhone 12 Mini,64GB,Sealed,"R 4,486.90"
iPhone 12 Mini,128GB,,
iPhone 12 Mini,128GB,Dead,R 115.50
iPhone 12 Mini,128GB,Poor,R 115.50
iPhone 12 Mini,128GB,Good,"R 3,944.60"
iPhone 12 Mini,128GB,Mint,"R 4,162.40"
iPhone 12 Mini,128GB,Sealed,"R 5,036.90"
iPhone 12 Mini,256GB,,
iPhone 12 Mini,256GB,Dead,R 115.50
iPhone 12 Mini,256GB,Poor,R 115.50
iPhone 12 Mini,256GB,Good,"R 4,494.60"
iPhone 12 Mini,256GB,Mint,"R 4,712.40"
iPhone 12 Mini,256GB,Sealed,"R 5,586.90"
iPhone 12 Pro,,,
iPhone 12 Pro,128GB,,
iPhone 12 Pro,128GB,Dead,R 115.50
iPhone 12 Pro,128GB,Poor,R 115.50
iPhone 12 Pro,128GB,Good,"R 5,497.80"
iPhone 12 Pro,128GB,Mint,"R 5,856.40"
iPhone 12 Pro,128GB,Sealed,"R 7,291.90"
iPhone 12 Pro,256GB,,
iPhone 12 Pro,256GB,Dead,R 115.50
iPhone 12 Pro,256GB,Poor,R 115.50
iPhone 12 Pro,256GB,Good,"R 6,047.80"
iPhone 12 Pro,256GB,Mint,"R 6,406.40"
iPhone 12 Pro,256GB,Sealed,"R 7,841.90"
iPhone 12 Pro,512GB,,
iPhone 12 Pro,512GB,Dead,R 115.50
iPhone 12 Pro,512GB,Poor,R 115.50
iPhone 12 Pro,512GB,Good,"R 6,597.80"
iPhone 12 Pro,512GB,Mint,"R 6,956.40"
iPhone 12 Pro,512GB,Sealed,"R 8,391.90"
iPhone 12 Pro Max,,,
iPhone 12 Pro Max,128GB,,
iPhone 12 Pro Max,128GB,Dead,R 115.50
iPhone 12 Pro Max,128GB,Poor,R 115.50
iPhone 12 Pro Max,128GB,Good,"R 6,487.80"
iPhone 12 Pro Max,128GB,Mint,"R 6,912.40"
iPhone 12 Pro Max,128GB,Sealed,"R 8,611.90"
iPhone 12 Pro Max,256GB,,
iPhone 12 Pro Max,256GB,Dead,R 115.50
iPhone 12 Pro Max,256GB,Poor,R 115.50
iPhone 12 Pro Max,256GB,Good,"R 7,037.80"
iPhone 12 Pro Max,256GB,Mint,"R 7,462.40"
iPhone 12 Pro Max,256GB,Sealed,"R 9,161.90"
iPhone 12 Pro Max,512GB,,
iPhone 12 Pro Max,512GB,Dead,R 115.50
iPhone 12 Pro Max,512GB,Poor,R 115.50
iPhone 12 Pro Max,512GB,Good,"R 7,587.80"
iPhone 12 Pro Max,512GB,Mint,"R 8,012.40"
iPhone 12 Pro Max,512GB,Sealed,"R 9,711.90"
iPhone 13,,,
iPhone 13,128GB,,
iPhone 13,128GB,Dead,R 115.50
iPhone 13,128GB,Poor,R 115.50
iPhone 13,128GB,Good,"R 5,450.50"
iPhone 13,128GB,Mint,"R 5,806.90"
iPhone 13,128GB,Sealed,"R 7,229.20"
iPhone 13,256GB,,
iPhone 13,256GB,Dead,R 115.50
iPhone 13,256GB,Poor,R 115.50
iPhone 13,256GB,Good,"R 6,000.50"
iPhone 13,256GB,Mint,"R 6,356.90"
iPhone 13,256GB,Sealed,"R 7,779.20"
iPhone 13,512GB,,
iPhone 13,512GB,Dead,R 115.50
iPhone 13,512GB,Poor,R 115.50
iPhone 13,512GB,Good,"R 6,550.50"
iPhone 13,512GB,Mint,"R 6,906.90"
iPhone 13,512GB,Sealed,"R 8,329.20"
iPhone 13 Mini,,,
iPhone 13 Mini,128GB,,
iPhone 13 Mini,128GB,Dead,R 115.50
iPhone 13 Mini,128GB,Poor,R 115.50
iPhone 13 Mini,128GB,Good,"R 5,374.60"
iPhone 13 Mini,128GB,Mint,"R 5,724.40"
iPhone 13 Mini,128GB,Sealed,"R 7,126.90"
iPhone 13 Mini,256GB,,
iPhone 13 Mini,256GB,Dead,R 115.50
iPhone 13 Mini,256GB,Poor,R 115.50
iPhone 13 Mini,256GB,Good,"R 5,924.60"
iPhone 13 Mini,256GB,Mint,"R 6,274.40"
iPhone 13 Mini,256GB,Sealed,"R 7,676.90"
iPhone 13 Mini,512GB,,
iPhone 13 Mini,512GB,Dead,R 115.50
iPhone 13 Mini,512GB,Poor,R 115.50
iPhone 13 Mini,512GB,Good,"R 6,474.60"
iPhone 13 Mini,512GB,Mint,"R 6,824.40"
iPhone 13 Mini,512GB,Sealed,"R 8,226.90"
iPhone 13 Pro,,,
iPhone 13 Pro,1TB,,
iPhone 13 Pro,1TB,Dead,R 115.50
iPhone 13 Pro,1TB,Poor,R 115.50
iPhone 13 Pro,1TB,Good,"R 9,491.90"
iPhone 13 Pro,1TB,Mint,"R 9,970.40"
iPhone 13 Pro,1TB,Sealed,"R 11,884.40"
iPhone 13 Pro,128GB,,
iPhone 13 Pro,128GB,Dead,R 115.50
iPhone 13 Pro,128GB,Poor,R 115.50
iPhone 13 Pro,128GB,Good,"R 5,197.50"
iPhone 13 Pro,128GB,Mint,"R 6,890.40"
iPhone 13 Pro,128GB,Sealed,"R 8,584.40"
iPhone 13 Pro,256GB,,
iPhone 13 Pro,256GB,Dead,R 115.50
iPhone 13 Pro,256GB,Poor,R 115.50
iPhone 13 Pro,256GB,Good,"R 7,291.90"
iPhone 13 Pro,256GB,Mint,"R 7,770.40"
iPhone 13 Pro,256GB,Sealed,"R 9,684.40"
iPhone 13 Pro,512GB,,
iPhone 13 Pro,512GB,Dead,R 115.50
iPhone 13 Pro,512GB,Poor,R 115.50
iPhone 13 Pro,512GB,Good,"R 8,391.90"
iPhone 13 Pro,512GB,Mint,"R 8,870.40"
iPhone 13 Pro,512GB,Sealed,"R 10,784.40"
iPhone 13 Pro Max,,,
iPhone 13 Pro Max,1TB,,
iPhone 13 Pro Max,1TB,Dead,R 115.50
iPhone 13 Pro Max,1TB,Poor,R 115.50
iPhone 13 Pro Max,1TB,Good,"R 9,381.90"
iPhone 13 Pro Max,1TB,Mint,"R 9,926.40"
iPhone 13 Pro Max,1TB,Sealed,"R 12,104.40"
iPhone 13 Pro Max,128GB,,
iPhone 13 Pro Max,128GB,Dead,R 115.50
iPhone 13 Pro Max,128GB,Poor,R 115.50
iPhone 13 Pro Max,128GB,Good,"R 7,731.90"
iPhone 13 Pro Max,128GB,Mint,"R 8,276.40"
iPhone 13 Pro Max,128GB,Sealed,"R 10,454.40"
iPhone 13 Pro Max,256GB,,
iPhone 13 Pro Max,256GB,Dead,R 115.50
iPhone 13 Pro Max,256GB,Poor,R 115.50
iPhone 13 Pro Max,256GB,Good,"R 8,281.90"
iPhone 13 Pro Max,256GB,Mint,"R 8,826.40"
iPhone 13 Pro Max,256GB,Sealed,"R 11,004.40"
iPhone 13 Pro Max,512GB,,
iPhone 13 Pro Max,512GB,Dead,R 115.50
iPhone 13 Pro Max,512GB,Poor,R 115.50
iPhone 13 Pro Max,512GB,Good,"R 8,831.90"
iPhone 13 Pro Max,512GB,Mint,"R 9,376.40"
iPhone 13 Pro Max,512GB,Sealed,"R 11,554.40"
iPhone 14,,,
iPhone 14,128GB,,
iPhone 14,128GB,Dead,R 115.50
iPhone 14,128GB,Poor,R 115.50
iPhone 14,128GB,Good,"R 6,487.80"
iPhone 14,128GB,Mint,"R 6,912.40"
iPhone 14,128GB,Sealed,"R 8,611.90"
iPhone 14,256GB,,
iPhone 14,256GB,Dead,R 115.50
iPhone 14,256GB,Poor,R 115.50
iPhone 14,256GB,Good,"R 7,037.80"
iPhone 14,256GB,Mint,"R 7,462.40"
iPhone 14,256GB,Sealed,"R 9,161.90"
iPhone 14,512GB,,
iPhone 14,512GB,Dead,R 115.50
iPhone 14,512GB,Poor,R 115.50
iPhone 14,512GB,Good,"R 7,587.80"
iPhone 14,512GB,Mint,"R 8,012.40"
iPhone 14,512GB,Sealed,"R 9,711.90"
iPhone 14 Plus,,,
iPhone 14 Plus,1TB,,
iPhone 14 Plus,1TB,Dead,R 115.50
iPhone 14 Plus,1TB,Poor,R 115.50
iPhone 14 Plus,1TB,Good,"R 9,127.80"
iPhone 14 Plus,1TB,Mint,"R 9,618.40"
iPhone 14 Plus,1TB,Sealed,"R 11,581.90"
iPhone 14 Plus,128GB,,
iPhone 14 Plus,128GB,Dead,R 115.50
iPhone 14 Plus,128GB,Poor,R 115.50
iPhone 14 Plus,128GB,Good,"R 7,477.80"
iPhone 14 Plus,128GB,Mint,"R 7,968.40"
iPhone 14 Plus,128GB,Sealed,"R 9,931.90"
iPhone 14 Plus,256GB,,
iPhone 14 Plus,256GB,Dead,R 115.50
iPhone 14 Plus,256GB,Poor,R 115.50
iPhone 14 Plus,256GB,Good,"R 8,027.80"
iPhone 14 Plus,256GB,Mint,"R 8,518.40"
iPhone 14 Plus,256GB,Sealed,"R 10,481.90"
iPhone 14 Plus,512GB,,
iPhone 14 Plus,512GB,Dead,R 115.50
iPhone 14 Plus,512GB,Poor,R 115.50
iPhone 14 Plus,512GB,Good,"R 8,577.80"
iPhone 14 Plus,512GB,Mint,"R 9,068.40"
iPhone 14 Plus,512GB,Sealed,"R 11,031.90"
iPhone 14 Pro,,,
iPhone 14 Pro,1TB,,
iPhone 14 Pro,1TB,Dead,R 115.50
iPhone 14 Pro,1TB,Poor,R 115.50
iPhone 14 Pro,1TB,Good,"R 10,612.80"
iPhone 14 Pro,1TB,Mint,"R 11,202.40"
iPhone 14 Pro,1TB,Sealed,"R 13,561.90"
iPhone 14 Pro,128GB,,
iPhone 14 Pro,128GB,Dead,R 115.50
iPhone 14 Pro,128GB,Poor,R 115.50
iPhone 14 Pro,128GB,Good,"R 8,962.80"
iPhone 14 Pro,128GB,Mint,"R 9,552.40"
iPhone 14 Pro,128GB,Sealed,"R 11,911.90"
iPhone 14 Pro,256GB,,
iPhone 14 Pro,256GB,Dead,R 115.50
iPhone 14 Pro,256GB,Poor,R 115.50
iPhone 14 Pro,256GB,Good,"R 9,512.80"
iPhone 14 Pro,256GB,Mint,"R 10,102.40"
iPhone 14 Pro,256GB,Sealed,"R 12,461.90"
iPhone 14 Pro,512GB,,
iPhone 14 Pro,512GB,Dead,R 115.50
iPhone 14 Pro,512GB,Poor,R 115.50
iPhone 14 Pro,512GB,Good,"R 10,062.80"
iPhone 14 Pro,512GB,Mint,"R 10,652.40"
iPhone 14 Pro,512GB,Sealed,"R 13,011.90"
iPhone 14 Pro Max,,,
iPhone 14 Pro Max,1TB,,
iPhone 14 Pro Max,1TB,Dead,R 115.50
iPhone 14 Pro Max,1TB,Poor,R 115.50
iPhone 14 Pro Max,1TB,Good,"R 12,021.90"
iPhone 14 Pro Max,1TB,Mint,"R 12,795.20"
iPhone 14 Pro Max,1TB,Sealed,"R 15,097.50"
iPhone 14 Pro Max,128GB,,
iPhone 14 Pro Max,128GB,Dead,R 115.50
iPhone 14 Pro Max,128GB,Poor,R 115.50
iPhone 14 Pro Max,128GB,Good,"R 10,371.90"
iPhone 14 Pro Max,128GB,Mint,"R 11,447.70"
iPhone 14 Pro Max,128GB,Sealed,"R 13,448.60"
iPhone 14 Pro Max,256GB,,
iPhone 14 Pro Max,256GB,Dead,R 115.50
iPhone 14 Pro Max,256GB,Poor,R 115.50
iPhone 14 Pro Max,256GB,Good,"R 10,921.90"
iPhone 14 Pro Max,256GB,Mint,"R 11,915.20"
iPhone 14 Pro Max,256GB,Sealed,"R 13,997.50"
iPhone 14 Pro Max,512GB,,
iPhone 14 Pro Max,512GB,Dead,R 115.50
iPhone 14 Pro Max,512GB,Poor,R 115.50
iPhone 14 Pro Max,512GB,Good,"R 11,471.90"
iPhone 14 Pro Max,512GB,Mint,"R 12,372.80"
iPhone 14 Pro Max,512GB,Sealed,"R 14,536.50"
iPhone 15,,,
iPhone 15,128GB,,
iPhone 15,128GB,Poor,R 115.50
iPhone 15,128GB,Good,"R 8,281.90"
iPhone 15,128GB,Mint,"R 8,826.40"
iPhone 15,128GB,Sealed,"R 11,004.40"
iPhone 15,256GB,,
iPhone 15,256GB,Poor,R 115.50
iPhone 15,256GB,Good,"R 9,381.90"
iPhone 15,256GB,Mint,"R 9,926.40"
iPhone 15,256GB,Sealed,"R 12,104.40"
iPhone 15,512GB,,
iPhone 15,512GB,Poor,R 115.50
iPhone 15,512GB,Good,"R 10,481.90"
iPhone 15,512GB,Mint,"R 11,026.40"
iPhone 15,512GB,Sealed,"R 13,204.40"
iPhone 15 Plus,,,
iPhone 15 Plus,128GB,,
iPhone 15 Plus,128GB,Poor,R 115.50
iPhone 15 Plus,128GB,Good,"R 8,962.80"
iPhone 15 Plus,128GB,Mint,"R 9,552.40"
iPhone 15 Plus,128GB,Sealed,"R 11,911.90"
iPhone 15 Plus,256GB,,
iPhone 15 Plus,256GB,Poor,R 115.50
iPhone 15 Plus,256GB,Good,"R 10,062.80"
iPhone 15 Plus,256GB,Mint,"R 10,652.40"
iPhone 15 Plus,256GB,Sealed,"R 13,011.90"
iPhone 15 Plus,512GB,,
iPhone 15 Plus,512GB,Poor,R 115.50
iPhone 15 Plus,512GB,Good,"R 11,162.80"
iPhone 15 Plus,512GB,Mint,"R 11,752.40"
iPhone 15 Plus,512GB,Sealed,"R 14,111.90"
iPhone 15 Pro,,,
iPhone 15 Pro,1TB,,
iPhone 15 Pro,1TB,Poor,R 115.50
iPhone 15 Pro,1TB,Good,"R 12,531.20"
iPhone 15 Pro,1TB,Mint,"R 13,248.40"
iPhone 15 Pro,1TB,Sealed,"R 16,119.40"
iPhone 15 Pro,128GB,,
iPhone 15 Pro,128GB,Poor,R 115.50
iPhone 15 Pro,128GB,Good,"R 10,881.20"
iPhone 15 Pro,128GB,Mint,"R 11,598.40"
iPhone 15 Pro,128GB,Sealed,"R 14,469.40"
iPhone 15 Pro,256GB,,
iPhone 15 Pro,256GB,Poor,R 115.50
iPhone 15 Pro,256GB,Good,"R 11,492.80"
iPhone 15 Pro,256GB,Mint,"R 11,431.20"
iPhone 15 Pro,256GB,Sealed,"R 15,019.40"
iPhone 15 Pro,512GB,Sealed,"R 15,569.40"
iPhone 15 Pro Max,,,
iPhone 15 Pro Max,1TB,,
iPhone 15 Pro Max,1TB,Poor,R 115.50
iPhone 15 Pro Max,1TB,Good,"R 13,032.80"
iPhone 15 Pro Max,1TB,Mint,"R 13,820.40"
iPhone 15 Pro Max,1TB,Sealed,"R 16,971.90"
iPhone 15 Pro Max,256GB,,
iPhone 15 Pro Max,256GB,Poor,R 115.50
iPhone 15 Pro Max,256GB,Good,"R 11,932.80"
iPhone 15 Pro Max,256GB,Mint,"R 12,720.40"
iPhone 15 Pro Max,256GB,Sealed,"R 15,871.90"
